Date,AAPL,GOOGL,MSFT,SPY
2020-07-28,90.64788818359375,74.73430633544922,193.55245971679688,299.93121337890625
2020-07-29,92.38545989990234,75.72136688232422,195.5069580078125,303.6200256347656
2020-07-30,93.5033187866211,76.45994567871094,195.3536834716797,302.5367431640625
2020-07-31,103.29206085205078,73.95397186279297,196.41712951660156,304.9275207519531
2020-08-03,105.894775390625,73.6960220336914,207.46385192871094,307.04736328125
2020-08-04,106.60196685791016,73.22584533691406,204.35008239746094,308.23345947265625
2020-08-05,106.98836517333984,73.51360321044922,204.0147705078125,310.14788818359375
2020-08-06,110.72111511230469,74.79890441894531,207.2818145751953,312.220947265625
2020-08-07,108.20378112792969,74.47187042236328,203.57400512695312,312.4451599121094
2020-08-10,109.7764892578125,74.39483642578125,199.52133178710938,313.3790283203125
2020-08-11,106.5117416381836,73.58567810058594,194.85546875,310.792236328125
2020-08-12,110.05160522460938,74.91272735595703,200.42193603515625,315.1253356933594
2020-08-13,111.99922943115234,75.38040924072266,199.95245361328125,314.5556945800781
2020-08-14,111.8994140625,74.78299713134766,200.1440887451172,314.5650329589844
2020-08-17,111.6072769165039,75.36003112792969,201.46624755859375,315.5643005371094
2020-08-18,112.53728485107422,77.32525634765625,202.62550354003906,316.2459716796875
2020-08-19,112.67847442626953,76.77008819580078,201.39622497558594,314.9292907714844
2020-08-20,115.17877197265625,78.3426513671875,206.08299255371094,315.9098205566406
2020-08-21,121.11420440673828,78.3088607788086,204.58473205566406,317.030517578125
2020-08-24,122.5627670288086,78.78499603271484,205.22824096679688,320.2429504394531
2020-08-25,121.55728149414062,79.81383514404297,207.89813232421875,321.36358642578125
2020-08-26,123.21035766601562,81.71641540527344,212.392822265625,324.58544921875
2020-08-27,121.73745727539062,80.94056701660156,217.60780334472656,325.295166015625
2020-08-28,121.54026794433594,81.48281860351562,219.84552001953125,327.3963928222656
2020-08-31,125.66194915771484,80.99077606201172,216.599365234375,326.21038818359375
2020-09-01,130.66734313964844,82.26066589355469,218.2705078125,329.2828063964844
2020-09-02,127.96017456054688,85.35758209228516,222.47702026367188,334.0455627441406
2020-09-03,117.71556091308594,80.98977661132812,208.69528198242188,322.5496520996094
2020-09-04,117.79345703125,78.58917236328125,205.76608276367188,319.9161071777344
2020-09-08,109.86656951904297,75.72584533691406,194.635009765625,311.17510986328125
2020-09-09,114.24877166748047,76.90030670166016,202.9232940673828,317.3199768066406
2020-09-10,110.51904296875,75.84761047363281,197.23765563964844,311.8101501464844
2020-09-11,109.06802368164062,75.336181640625,195.95069885253906,311.9689025878906
2020-09-14,112.3400650024414,74.99175262451172,197.27609252929688,316.077880859375
2020-09-15,112.51536560058594,76.29840850830078,200.5126495361328,317.6747741699219
2020-09-16,109.19463348388672,75.1537857055664,196.93035888671875,316.41412353515625
2020-09-17,107.45149230957031,73.90874481201172,194.8751220703125,313.6311340332031
2020-09-18,104.0431137084961,72.12195587158203,192.45486450195312,310.0204772949219
2020-09-21,107.19830322265625,71.08070373535156,194.5197296142578,306.57000732421875
2020-09-22,108.88300323486328,72.55585479736328,199.20651245117188,309.6922607421875
2020-09-23,104.3157958984375,70.04939270019531,192.64695739746094,302.5101318359375
2020-09-24,105.38699340820312,70.7188720703125,195.1439666748047,303.3165283203125
2020-09-25,109.3406982421875,71.5240478515625,199.59068298339844,308.22021484375
2020-09-28,111.95054626464844,72.49819946289062,201.14654541015625,313.3395690917969
2020-09-29,111.10330963134766,72.864013671875,199.05284118652344,311.63311767578125
2020-09-30,112.77828979492188,72.84313201904297,202.0012969970703,313.995849609375
2020-10-01,113.73263549804688,73.95148468017578,204.04693603515625,316.01171875
2020-10-02,110.06134033203125,72.34611511230469,198.0251922607422,313.01141357421875
2020-10-05,113.45022583007812,73.69950103759766,202.04930114746094,318.5621032714844
2020-10-06,110.19766998291016,72.11848449707031,197.7563018798828,314.03338623046875
2020-10-07,112.0674057006836,72.52205657958984,201.52108764648438,319.4996643066406
2020-10-08,111.96028900146484,73.72933197021484,202.24136352539062,322.33123779296875
2020-10-09,113.9079360961914,75.072265625,207.2642364501953,325.2096862792969
2020-10-12,121.1434097290039,77.76313018798828,212.63290405273438,330.4415588378906
2020-10-13,117.92980194091797,77.88639068603516,214.03509521484375,328.2850646972656
2020-10-14,118.0174560546875,77.70597076416016,212.11431884765625,326.2222900390625
2020-10-15,117.55003356933594,77.30984497070312,210.9618377685547,325.81915283203125
2020-10-16,115.90425109863281,77.9177017211914,210.9618377685547,325.6222229003906
2020-10-19,112.94385528564453,76.04145050048828,205.73721313476562,320.671630859375
2020-10-20,114.43379974365234,77.09165954589844,206.15020751953125,321.9562072753906
2020-10-21,113.81055450439453,78.82674407958984,206.2942657470703,321.3467712402344
2020-10-22,112.7198486328125,79.85408020019531,206.38070678710938,323.10943603515625
2020-10-23,112.02845001220703,81.16224670410156,207.66761779785156,324.2064208984375
2020-10-26,112.03821563720703,78.74226379394531,201.7611846923828,318.2151184082031
2020-10-27,113.54761505126953,79.4674072265625,204.8056182861328,317.1181640625
2020-10-28,108.28897094726562,75.08966064453125,194.6541748046875,306.27935791015625
2020-10-29,112.30111694335938,77.37992858886719,196.61343383789062,309.3922119140625
2020-10-30,106.01025390625,80.32377624511719,194.45249938964844,306.1668395996094
2020-11-02,105.92259216308594,80.73182678222656,194.3180694580078,309.5984802246094
